name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-3978,YES,1,0,0,0,0,0,0
GENE-3979,NO,1,0,0,0,0,0,0
GENE-3980,NO,1,17,22,19,12,21,17
GENE-3981,NO,1,0,0,0,0,0,0
GENE-3982,NO,1,0,0,0,0,0,0
GENE-3983,NO,1,351,290,295,335,291,305
GENE-3984,NO,1,0,0,0,0,0,0
GENE-3985,NO,1,0,0,0,0,0,0
GENE-3986,NO,1,0,0,0,0,0,0
GENE-3987,NO,1,0,0,0,0,0,0
GENE-3988,NO,1,360,136,297,243,171,277
GENE-3989,NO,1,520,460,577,458,370,544
GENE-3990,NO,1,0,0,0,0,0,0
GENE-3991,NO,1,0,0,0,0,0,0
GENE-3992,NO,1,1,0,2,0,1,1
GENE-3993,NO,1,40,36,23,34,21,41
GENE-3994,NO,1,0,0,0,0,0,0
GENE-3995,NO,1,0,0,0,0,0,0
GENE-3996,NO,1,101,80,94,113,95,86
GENE-3997,NO,1,323,320,359,263,306,367
GENE-3998,NO,1,0,0,0,0,0,0
GENE-4000,NO,1,0,0,0,0,0,0
GENE-4001,NO,1,0,0,0,0,0,0
GENE-4002,NO,1,0,0,0,0,0,0
GENE-4003,NO,1,0,0,0,0,0,0
GENE-4004,NO,1,1,0,1,1,0,0
GENE-4005,NO,1,0,0,0,0,0,0
GENE-4006,NO,1,0,0,0,0,0,0
GENE-4007,NO,1,55,75,66,53,70,54
GENE-4008,NO,1,0,0,0,0,0,0
GENE-4009,NO,1,0,0,0,0,0,0
GENE-4010,NO,1,0,0,0,0,0,0
GENE-4011,NO,1,1600,984,1032,1363,1322,1089
GENE-4012,NO,1,0,0,0,0,0,0
GENE-4013,NO,1,0,0,0,0,0,0
GENE-4014,NO,1,15,13,23,25,18,20
GENE-4016,NO,1,0,0,0,0,0,0
GENE-4017,NO,1,17,14,26,12,6,11
GENE-4018,NO,1,0,0,0,0,0,0
GENE-4019,NO,1,0,0,0,0,0,0
GENE-4020,NO,1,0,0,0,0,0,0
GENE-4021,YES,1,0,0,0,0,0,0
GENE-4022,NO,1,0,0,0,0,0,0
GENE-4023,NO,1,0,0,0,0,0,0
GENE-4024,NO,1,348,393,473,235,401,275
GENE-4025,NO,1,0,0,0,0,0,0
GENE-4026,NO,1,1,0,0,1,0,0
GENE-4027,NO,1,0,0,0,0,0,0
GENE-4028,NO,1,0,0,0,0,0,0
GENE-4029,NO,1,1930,1933,1969,1982,1822,1826
GENE-4030,NO,1,424,545,420,382,424,351
GENE-4031,NO,1,0,0,0,0,0,0
GENE-4032,NO,1,3,4,3,8,1,1
GENE-4033,NO,1,0,0,0,0,0,0
GENE-4034,NO,1,128,180,273,420,298,99
GENE-4035,NO,1,5,3,2,3,7,6
GENE-4036,NO,1,0,0,0,0,0,0
GENE-4037,NO,1,0,0,0,0,0,0
GENE-4038,NO,1,0,0,0,0,0,0
GENE-4039,YES,1,0,0,0,0,0,0
GENE-4040,NO,1,652,692,563,671,818,682
GENE-4041,NO,1,39,48,33,43,35,39
GENE-4042,NO,1,250,225,175,263,297,350
GENE-4043,NO,1,25,20,17,38,12,19
GENE-4044,NO,1,0,0,0,0,0,0
GENE-4045,NO,1,0,0,0,0,0,0
GENE-4046,NO,1,0,0,0,0,0,0
GENE-4047,NO,1,0,0,0,0,0,0
GENE-4048,NO,1,343,600,390,451,328,328
GENE-4049,NO,1,20,7,13,23,18,9
GENE-4050,NO,1,0,0,0,0,0,0
GENE-4051,NO,1,0,0,0,0,0,0
GENE-4052,NO,1,0,0,0,0,0,0
GENE-4053,NO,1,0,0,0,0,0,0
GENE-4054,NO,1,0,0,0,0,0,0
GENE-4055,NO,1,30,38,40,36,30,36
GENE-4056,NO,1,0,0,0,0,0,0
GENE-4057,NO,1,0,0,0,0,1,0
GENE-4058,NO,1,0,0,0,0,0,0
GENE-4059,NO,1,0,0,0,0,0,0
GENE-4060,NO,1,0,0,0,0,0,0
GENE-4061,NO,1,574,663,235,698,221,783
GENE-4062,NO,1,0,0,0,0,0,0
GENE-4063,NO,1,76,148,57,68,67,54
GENE-4064,NO,1,0,0,0,0,0,0
GENE-4065,NO,1,0,0,0,0,0,0
GENE-4066,NO,1,9,5,8,10,16,9
GENE-4067,NO,1,0,0,0,0,0,0
GENE-4068,NO,1,0,0,0,0,0,0
GENE-4069,NO,1,1,1,0,0,0,0
GENE-4070,NO,1,1,0,0,0,0,0
GENE-4071,NO,1,7,5,3,2,6,9
GENE-4072,NO,1,938,2390,1765,2371,3876,2256
GENE-4073,NO,1,0,0,0,0,0,0
GENE-4074,NO,1,0,0,0,0,0,0
GENE-4076,NO,1,0,0,0,0,0,0
GENE-4077,NO,1,0,0,0,0,0,0
GENE-4078,YES,1,0,0,0,0,0,0
GENE-4079,NO,1,43,31,37,39,25,34
GENE-4080,NO,1,0,0,0,0,0,0
GENE-4081,NO,1,0,0,0,0,0,0
GENE-4082,NO,1,0,0,0,0,0,0
GENE-4083,NO,1,0,0,0,0,0,0
GENE-4084,NO,1,0,0,0,0,0,0
GENE-4085,NO,1,0,0,0,0,0,0
GENE-4086,NO,1,114,119,155,124,127,137
GENE-4087,NO,1,0,0,0,0,0,0
GENE-4088,NO,1,17,16,12,13,14,19
GENE-4089,NO,1,0,0,0,0,0,0
GENE-4090,NO,1,1318,1873,549,1410,1220,1496
GENE-4091,NO,1,0,0,0,0,0,0
GENE-4092,NO,1,0,0,0,0,0,0
GENE-4093,NO,1,2267,2152,4123,2744,2383,2763
GENE-4094,NO,1,95,80,76,65,75,91
GENE-4095,NO,1,0,0,0,0,0,0
GENE-4096,NO,1,48,58,60,59,67,65
GENE-4097,NO,1,0,0,0,0,0,0
GENE-4098,NO,1,0,0,0,0,0,0
GENE-4099,NO,1,1,1,3,1,1,1
GENE-4100,NO,1,0,0,0,0,0,0
GENE-4101,NO,1,0,0,0,0,0,0
GENE-4102,YES,1,0,0,0,0,0,0
GENE-4103,NO,1,3,4,3,3,2,12
GENE-4104,NO,1,0,0,0,0,0,0
GENE-4105,NO,1,6,6,6,3,8,7
GENE-4106,NO,1,0,0,0,1,0,0
GENE-4107,NO,1,0,0,0,0,0,0
GENE-4108,NO,1,0,0,0,0,0,0
GENE-4109,YES,1,0,0,0,0,0,0
GENE-4110,NO,1,3377,3425,3339,3464,3339,2834
GENE-4111,NO,1,0,0,0,0,0,0
GENE-4112,NO,1,0,0,0,2,1,0
GENE-4113,NO,1,0,0,0,0,0,0
GENE-4114,NO,1,0,0,0,0,0,0
GENE-4115,NO,1,0,0,0,0,0,0
GENE-4116,NO,1,0,0,0,0,0,0
GENE-4117,NO,1,4,1,1,0,2,2
GENE-4118,NO,1,0,0,0,0,0,0
GENE-4119,NO,1,0,0,0,0,0,0
GENE-4120,NO,1,47,51,54,50,60,53
GENE-4121,NO,1,0,0,0,0,0,0
GENE-4122,YES,1,0,0,0,0,0,0
GENE-4123,NO,1,0,0,0,0,0,0
GENE-4124,NO,1,0,0,0,0,0,0
GENE-4125,NO,1,0,0,0,0,0,0
GENE-4126,NO,1,151,191,510,332,235,1357
GENE-4127,NO,1,185,187,380,342,159,72
GENE-4128,NO,1,0,0,0,0,0,0
GENE-4129,NO,1,0,0,0,0,0,0
GENE-4130,NO,1,0,0,0,0,0,0
GENE-4131,NO,1,0,0,0,0,0,0
GENE-4132,NO,1,0,0,0,0,0,0
GENE-4133,NO,1,0,0,0,0,0,0
GENE-4134,NO,1,0,0,1,0,1,0
GENE-4135,NO,1,2113,1737,1808,1963,2008,2055
GENE-4136,NO,1,0,0,0,0,0,0
GENE-4137,YES,1,0,0,0,0,0,0
GENE-4138,NO,1,0,0,0,0,0,0
GENE-4139,NO,1,0,0,0,0,0,0
GENE-4140,NO,1,25,20,35,18,28,23
GENE-4141,NO,1,0,0,0,0,0,0
GENE-4142,NO,1,0,0,0,0,0,0
GENE-4143,NO,1,0,0,0,0,0,0
GENE-4144,NO,1,0,0,0,0,0,0
GENE-4145,NO,1,0,0,0,0,0,0
GENE-4146,NO,1,0,0,0,0,0,0
GENE-4147,NO,1,8,4,12,7,10,5
GENE-4148,NO,1,0,0,0,0,0,0
GENE-4149,NO,1,381,587,515,464,618,453
GENE-4151,YES,1,0,0,0,0,0,0
GENE-4152,NO,1,0,0,0,0,0,0
GENE-4153,NO,1,0,0,0,0,0,0
GENE-4154,NO,1,0,0,0,0,0,0
GENE-4155,NO,1,0,0,0,0,0,0
GENE-4156,NO,1,0,0,0,0,0,0
GENE-4157,YES,1,0,0,0,0,0,0
GENE-4158,NO,1,0,0,0,0,0,0
GENE-4159,NO,1,1351,1685,1780,2117,1577,1704
GENE-4160,NO,1,972,1012,976,815,974,1170
GENE-4161,NO,1,0,0,0,0,0,0
GENE-4162,NO,1,0,0,0,0,0,0
GENE-4164,NO,1,0,0,0,0,0,0
GENE-4165,NO,1,0,0,0,0,0,0
GENE-4166,NO,1,0,0,0,0,0,0
GENE-4167,NO,1,0,0,0,0,0,0
GENE-4168,NO,1,0,0,0,0,0,0
GENE-4169,NO,1,0,1,2,1,0,1
GENE-4170,NO,1,0,0,0,0,0,0
GENE-4171,NO,1,0,0,0,0,0,0
GENE-4172,NO,1,0,0,0,0,0,0
GENE-4173,NO,1,0,0,0,0,0,0
GENE-4174,NO,1,0,0,0,0,0,0
GENE-4175,NO,1,0,0,0,0,0,0
GENE-4176,NO,1,0,0,0,0,0,0
GENE-4177,NO,1,1,6,1,7,9,4
GENE-4178,NO,1,0,0,0,0,0,0
GENE-4179,NO,1,0,0,0,0,0,0
GENE-4180,NO,1,0,0,0,0,0,0
GENE-4181,NO,1,236,400,548,317,482,588
GENE-4182,NO,1,1,0,1,1,0,1
GENE-4183,NO,1,1,1,0,2,0,2
GENE-4184,NO,1,1,0,1,1,0,1
GENE-4185,NO,1,0,0,0,0,0,0
GENE-4186,NO,1,0,0,0,0,0,0
GENE-4187,NO,1,91,80,109,84,84,84
GENE-4188,NO,1,80,73,49,53,83,70
GENE-4189,NO,1,0,0,0,0,0,0
GENE-4190,NO,1,0,0,0,0,0,0
GENE-4191,NO,1,0,0,0,0,0,0
GENE-4192,NO,1,0,0,0,0,0,0
GENE-4193,NO,1,1,2,2,2,0,1
GENE-4194,NO,1,0,0,0,0,0,0
GENE-4195,NO,1,0,0,0,0,0,0
GENE-4196,NO,1,0,0,0,0,0,0
GENE-4197,NO,1,0,0,0,0,0,0
GENE-4198,NO,1,2,2,0,0,0,1
GENE-4199,NO,1,0,0,0,0,0,0
GENE-4200,NO,1,0,0,0,0,0,0
GENE-4201,NO,1,69,74,47,36,116,23
GENE-4202,NO,1,0,0,0,0,0,0
GENE-4203,YES,1,0,0,0,0,0,0
GENE-4204,NO,1,0,2,0,1,0,0
GENE-4205,NO,1,0,0,0,0,0,0
GENE-4206,NO,1,113,206,95,174,78,83
GENE-4207,NO,1,132,106,139,143,135,106
GENE-4208,NO,1,0,0,0,0,0,0
GENE-4209,NO,1,0,0,0,0,0,0
GENE-4210,NO,1,3862,218,843,731,1399,1043
GENE-4211,NO,1,0,0,0,0,0,0
GENE-4212,NO,1,4,0,0,2,0,2
GENE-4213,NO,1,0,0,0,0,0,0
GENE-4214,NO,1,0,0,0,0,0,0
GENE-4215,NO,1,0,0,0,0,0,0
GENE-4216,NO,1,0,0,0,0,0,0
GENE-4217,NO,1,0,0,0,0,0,0
GENE-4218,NO,1,5,5,8,5,6,2
GENE-4219,NO,1,0,0,0,0,0,0
GENE-4220,NO,1,0,0,0,0,0,0
GENE-4221,YES,1,0,0,0,0,0,0
GENE-4222,NO,1,0,0,0,0,0,0
GENE-4223,NO,1,0,0,0,0,0,0
GENE-4224,NO,1,0,0,0,0,0,0
GENE-4225,NO,1,0,0,0,0,0,0
GENE-4226,NO,1,0,0,0,0,0,0
GENE-4227,NO,1,0,0,0,0,0,0
GENE-4228,YES,1,0,0,0,0,0,0
GENE-4229,YES,1,5,3,3,2,6,1
GENE-4230,NO,1,110,105,87,119,99,93
GENE-4231,NO,1,0,0,0,0,0,0
GENE-4232,NO,1,0,0,0,0,0,0
GENE-4233,NO,1,0,0,0,0,0,0
GENE-4234,NO,1,0,0,0,0,0,0
GENE-4235,NO,1,0,0,0,0,0,0
GENE-4236,NO,1,0,0,0,0,0,0
GENE-4237,NO,1,0,0,0,0,0,0
GENE-4238,NO,1,0,0,0,0,0,0
GENE-4239,NO,1,385,421,447,512,506,501
GENE-4240,NO,1,0,4,3,4,3,4
GENE-4241,NO,1,0,0,0,0,0,0
GENE-4242,NO,1,0,0,0,0,0,0
GENE-4243,NO,1,1201,1173,1203,1105,1193,1133
GENE-4244,NO,1,838,920,776,1083,862,784
GENE-4245,NO,1,0,0,0,0,0,0
GENE-4246,NO,1,0,0,0,0,0,0
GENE-4247,NO,1,1,1,0,3,3,1
GENE-4248,NO,1,0,0,0,0,0,0
GENE-4249,NO,1,0,0,0,0,0,0
GENE-4250,NO,1,0,0,0,0,0,0
GENE-4251,NO,1,0,0,0,0,0,0
GENE-4252,NO,1,125,143,166,133,126,156
GENE-4253,NO,1,0,0,1,0,0,0
GENE-4254,NO,1,0,0,0,0,0,0
GENE-4255,NO,1,225,204,140,278,183,149
GENE-4256,NO,1,329,735,275,293,307,435
GENE-4257,NO,1,0,0,0,0,0,1
GENE-4258,NO,1,0,0,0,0,0,0
GENE-4259,NO,1,0,0,0,0,0,0
GENE-4260,NO,1,1,0,0,0,0,0
GENE-4261,NO,1,0,0,0,0,0,0
GENE-4262,NO,1,0,0,0,0,0,0
GENE-4263,NO,1,0,0,0,0,0,0
GENE-4264,NO,1,0,0,0,0,0,0
GENE-4265,NO,1,0,0,0,0,0,0
GENE-4266,NO,1,0,0,0,0,0,0
GENE-4267,NO,1,0,0,0,0,0,0
GENE-4268,NO,1,0,0,0,0,0,0
GENE-4269,NO,1,487,384,354,387,403,393
GENE-4270,NO,1,19,6,38,1,7,18
GENE-4271,NO,1,0,0,0,1,1,0
GENE-4272,NO,1,0,0,0,0,0,0
GENE-4273,NO,1,0,0,0,0,0,0
GENE-4274,NO,1,3,6,3,1,6,5
GENE-4275,NO,1,0,0,0,0,0,0
GENE-4276,NO,1,0,0,0,0,0,0
GENE-4277,NO,1,214,231,242,215,221,221
GENE-4278,NO,1,1,0,2,1,3,1
GENE-4279,NO,1,0,0,0,0,0,0
GENE-4280,NO,1,0,0,0,0,0,0
GENE-4281,NO,1,0,0,0,0,0,0
GENE-4282,NO,1,0,0,0,0,0,0
GENE-4283,NO,1,0,0,0,0,0,0
GENE-4284,NO,1,0,0,0,0,0,0
GENE-4285,NO,1,0,0,0,0,0,0
GENE-4286,NO,1,192,262,229,199,288,256
GENE-4287,NO,1,0,0,0,0,0,0
GENE-4288,NO,1,0,0,0,0,0,0
GENE-4289,NO,1,17,8,13,23,21,20
GENE-4290,NO,1,7,9,9,12,7,7
GENE-4291,NO,1,1,2,3,1,2,2
GENE-4292,NO,1,0,0,0,0,0,0
GENE-4293,NO,1,0,0,0,0,0,0
GENE-4294,NO,1,0,0,0,0,0,0
GENE-4295,YES,1,0,0,0,0,0,0
GENE-4296,NO,1,0,0,0,0,0,0
GENE-4297,NO,1,20,20,22,23,19,19
GENE-4298,NO,1,6,11,8,5,9,8
GENE-4299,NO,1,0,0,0,0,0,0
GENE-4300,NO,1,0,1,5,2,2,1
GENE-4301,NO,1,0,0,0,0,0,0
GENE-4302,NO,1,56,61,20,41,93,80
GENE-4303,NO,1,0,0,0,0,0,0
GENE-4304,NO,1,0,0,0,0,0,0
GENE-4305,NO,1,0,0,0,0,0,0
GENE-4306,NO,1,0,0,0,0,0,0
GENE-4307,YES,1,0,0,0,0,0,0
GENE-4308,NO,1,0,0,0,0,0,0
GENE-4309,NO,1,0,0,0,0,0,0
GENE-4310,NO,1,0,0,1,0,0,1
GENE-4311,NO,1,0,0,0,0,0,0
GENE-4312,NO,1,0,2,2,3,3,2
GENE-4313,NO,1,75,54,57,90,143,87
GENE-4314,NO,1,0,0,0,0,0,0
GENE-4315,NO,1,2472,2152,1980,2019,2560,2211
GENE-4316,NO,1,1146,1231,1379,1280,1258,1375
GENE-4317,NO,1,82,138,44,62,53,77
GENE-4318,NO,1,0,0,0,0,0,0
GENE-4319,NO,1,0,0,0,0,0,0
GENE-4320,NO,1,119,94,152,110,133,76
GENE-4321,NO,1,210,175,240,155,111,112
GENE-4322,NO,1,0,0,1,0,0,0
GENE-4323,NO,1,0,1,1,0,3,0
GENE-4324,NO,1,0,0,0,0,0,0
GENE-4325,NO,1,3,7,4,8,4,11
GENE-4326,NO,1,0,0,0,0,0,0
GENE-4327,NO,1,0,0,0,0,0,0
GENE-4328,NO,1,0,0,0,0,0,0
GENE-4329,NO,1,1205,737,663,741,781,796
GENE-4330,NO,1,1717,1499,2692,2171,1049,2253
GENE-4331,NO,1,0,0,0,0,0,0
GENE-4332,NO,1,754,309,580,558,351,705
GENE-4333,NO,1,0,0,0,0,0,0
GENE-4334,NO,1,39,32,19,26,21,39
GENE-4335,NO,1,0,0,0,1,0,0
GENE-4336,NO,1,0,0,0,0,0,0
GENE-4337,NO,1,1986,1256,1505,1193,1198,1567
GENE-4338,NO,1,324,398,327,291,265,300
GENE-4339,NO,1,331,290,162,381,524,72
GENE-4340,NO,1,0,0,0,0,0,0
GENE-4341,NO,1,0,0,0,0,0,0
GENE-4342,NO,1,0,0,0,0,0,0
GENE-4343,NO,1,42,61,53,54,48,64
GENE-4345,NO,1,0,0,0,0,0,0
GENE-4346,NO,1,0,0,0,0,0,0
GENE-4347,NO,1,0,0,0,0,0,0
GENE-4348,NO,1,0,0,0,0,0,0
GENE-4349,NO,1,0,0,0,0,0,0
GENE-4350,NO,1,0,0,0,0,0,0
GENE-4351,NO,1,0,0,0,0,0,0
GENE-4352,NO,1,0,0,0,0,0,0
GENE-4353,NO,1,0,0,0,0,0,0
GENE-4354,NO,1,0,0,0,0,0,0
GENE-4355,YES,1,0,0,0,5,11,8
GENE-4356,NO,1,2423,1801,1878,1510,1995,2158
GENE-4357,NO,1,0,0,0,0,0,0
GENE-4358,NO,1,3,5,7,10,4,4
GENE-4359,NO,1,0,0,0,0,0,0
GENE-4360,NO,1,0,0,0,0,0,0
GENE-4361,NO,1,0,0,0,0,0,0
GENE-4362,NO,1,0,0,0,0,0,0
GENE-4363,NO,1,0,0,0,0,0,0
GENE-4364,NO,1,0,0,0,0,0,0
GENE-4365,NO,1,0,0,0,0,0,0
GENE-4366,NO,1,0,0,0,0,0,0
GENE-4367,NO,1,0,0,0,0,0,0
GENE-4368,NO,1,222,292,268,205,224,113
GENE-4369,NO,1,0,0,0,0,0,0
GENE-4370,NO,1,0,0,0,0,0,0
GENE-4371,NO,1,1,0,2,2,1,1
GENE-4372,NO,1,0,0,0,0,0,0
GENE-4373,NO,1,0,0,0,0,0,0
GENE-4374,NO,1,0,0,0,0,0,0
GENE-4375,NO,1,0,0,0,0,0,0
GENE-4376,NO,1,0,0,0,0,0,0
GENE-4377,NO,1,0,0,0,0,0,0
GENE-4378,NO,1,0,0,0,0,0,0
GENE-4379,NO,1,0,0,0,0,0,0
GENE-4380,NO,1,0,0,0,0,0,0
GENE-4382,NO,1,12,17,12,12,12,12
GENE-4383,NO,1,0,0,0,0,0,0
GENE-4384,NO,1,321,365,295,365,316,432
GENE-4385,NO,1,19,21,12,20,17,24
GENE-4386,NO,1,29,29,25,30,30,30
GENE-4387,NO,1,2,3,0,2,3,1
GENE-4388,NO,1,1,0,3,0,0,0
GENE-4389,NO,1,0,0,0,0,0,0
GENE-4390,NO,1,0,0,0,0,0,0
GENE-4391,NO,1,0,0,0,0,0,0
GENE-4392,NO,1,0,0,0,0,0,0
GENE-4393,NO,1,0,0,0,0,0,0
GENE-4394,NO,1,3304,3209,3377,3153,3120,3375
GENE-4395,NO,1,0,0,0,0,0,0
GENE-4397,NO,1,5,7,9,11,23,8
GENE-4398,NO,1,0,0,0,0,0,0
GENE-4399,NO,1,0,0,0,0,0,0
GENE-4400,NO,1,0,0,0,0,0,0
GENE-4401,NO,1,60,64,72,47,73,65
GENE-4402,NO,1,7,4,3,3,4,1
GENE-4403,NO,1,0,0,0,0,0,0
GENE-4404,NO,1,0,0,0,0,0,0
GENE-4405,NO,1,27,27,29,16,39,30
GENE-4406,NO,1,0,0,0,0,0,0
GENE-4407,NO,1,4,2,2,5,8,3
GENE-4408,NO,1,0,0,0,0,0,0
GENE-4409,NO,1,0,0,0,0,0,0
GENE-4410,NO,1,0,0,0,0,0,0
GENE-4411,NO,1,0,0,0,0,0,0
GENE-4412,NO,1,0,0,0,0,0,0
GENE-4413,NO,1,0,0,0,0,0,0
GENE-4414,NO,1,0,0,0,0,0,0
GENE-4415,YES,1,0,0,0,0,0,0
GENE-4416,NO,1,1085,1041,1841,1057,1263,1236
GENE-4417,NO,1,0,0,0,0,0,0
GENE-4418,YES,1,0,0,0,0,0,0
GENE-4419,NO,1,45,36,42,46,72,32
GENE-4420,NO,1,0,0,0,0,0,0
GENE-4421,NO,1,0,0,0,0,0,0
GENE-4422,NO,1,359,332,342,379,379,383
GENE-4423,NO,1,0,0,0,0,0,0
GENE-4424,NO,1,0,0,0,0,0,0
GENE-4425,NO,1,0,0,0,0,0,0
GENE-4426,NO,1,0,0,0,0,0,0
GENE-4427,NO,1,0,0,0,0,0,0
GENE-4428,NO,1,0,0,0,0,0,0
GENE-4429,NO,1,48,55,40,65,50,67
GENE-4430,NO,1,0,0,0,0,0,0
GENE-4431,NO,1,6,11,16,11,18,11
GENE-4432,NO,1,120,109,83,92,124,111
GENE-4433,YES,1,0,0,0,0,0,0
GENE-4434,NO,1,0,0,0,0,0,0
GENE-4435,NO,1,22,12,27,26,22,25
GENE-4436,NO,1,0,0,0,0,1,0
GENE-4437,NO,1,31,129,102,58,119,54
GENE-4438,NO,1,0,0,1,0,0,0
GENE-4439,NO,1,0,0,0,0,0,0
GENE-4440,NO,1,0,0,0,0,0,0
GENE-4441,NO,1,1,1,3,4,0,0
GENE-4442,NO,1,0,0,0,0,1,0
GENE-4443,NO,1,129,131,108,114,146,114
GENE-4444,NO,1,0,0,0,0,0,0
GENE-4445,NO,1,0,0,0,0,0,0
GENE-4446,NO,1,0,0,0,0,0,0
GENE-4447,NO,1,0,0,0,0,0,0
GENE-4448,NO,1,0,0,0,0,0,0
GENE-4449,NO,1,55,29,36,63,61,48
GENE-4450,YES,1,7,6,6,5,3,3
GENE-4451,NO,1,0,0,0,0,0,0
GENE-4452,NO,1,1,1,1,0,0,0
GENE-4453,NO,1,494,331,334,363,318,459
GENE-4454,NO,1,0,0,0,0,0,0
GENE-4455,NO,1,0,0,0,0,0,0
GENE-4456,NO,1,0,0,0,0,0,0
GENE-4457,NO,1,0,0,0,0,0,0
GENE-4458,NO,1,0,0,0,0,0,0
GENE-4459,NO,1,228,277,280,260,278,252
GENE-4460,NO,1,566,520,528,500,541,510
GENE-4461,NO,1,0,0,0,0,0,0
GENE-4462,NO,1,0,0,0,0,0,0
GENE-4463,NO,1,0,0,0,0,0,0
GENE-4464,NO,1,0,0,0,0,0,0
GENE-4465,NO,1,0,0,0,0,0,0
GENE-4466,NO,1,0,0,0,0,0,0
GENE-4467,NO,1,0,1,0,0,0,0
GENE-4468,NO,1,0,0,0,0,0,0
GENE-4469,NO,1,0,0,0,0,0,0
GENE-4470,NO,1,0,0,0,0,0,0
GENE-4471,NO,1,0,0,0,0,0,0
GENE-4472,NO,1,0,0,0,0,0,0
GENE-4473,NO,1,182,159,148,141,168,177
GENE-4474,NO,1,81,56,73,115,46,66
GENE-4475,NO,1,0,0,0,0,0,0
GENE-4476,NO,1,0,0,0,0,0,0
GENE-4477,NO,1,0,0,0,0,0,0
GENE-4478,NO,1,155,178,164,105,124,140
GENE-4479,NO,1,0,0,0,0,0,0
GENE-4480,NO,1,0,0,0,0,0,0
GENE-4481,NO,1,0,0,0,0,1,0
GENE-4482,NO,1,0,0,0,0,0,0
GENE-4483,NO,1,51,54,88,96,125,91
GENE-4484,NO,1,425,242,714,394,231,142
GENE-4485,NO,1,84,143,121,98,109,116
GENE-4486,NO,1,0,0,0,0,0,0
GENE-4487,NO,1,0,0,0,0,0,0
GENE-4488,NO,1,0,0,0,0,0,0
GENE-4489,NO,1,2356,1983,2254,2385,2612,2036
GENE-4490,NO,1,2,16,11,4,8,6
GENE-4491,NO,1,0,0,0,0,0,0
GENE-4492,NO,1,0,0,0,0,0,0
GENE-4493,NO,1,98,87,103,97,123,78
GENE-4494,NO,1,0,0,0,0,0,0
GENE-4495,NO,1,0,0,0,0,0,0
GENE-4496,YES,1,0,0,0,0,0,0
GENE-4497,NO,1,0,0,0,0,0,0
GENE-4498,NO,1,116,76,88,97,106,80
GENE-4499,NO,1,763,724,712,754,723,670
GENE-4500,NO,1,0,0,0,0,0,0
GENE-4501,NO,1,130,60,46,90,86,68
GENE-4502,NO,1,184,109,165,153,251,143
GENE-4503,NO,1,0,0,0,0,0,0
GENE-4504,NO,1,11,14,15,12,17,13
GENE-4505,NO,1,0,0,0,0,0,0
GENE-4506,NO,1,0,0,0,0,0,0
GENE-4507,NO,1,0,0,0,0,0,0
GENE-4508,NO,1,0,0,0,0,0,0
GENE-4509,NO,1,347,361,375,419,409,457
GENE-4510,NO,1,0,0,0,0,0,0
GENE-4511,NO,1,0,0,0,0,0,0
GENE-4512,NO,1,0,0,0,0,0,0
GENE-4513,NO,1,0,0,0,0,0,0
GENE-4514,NO,1,1,1,0,1,0,2
GENE-4515,NO,1,0,0,0,0,0,0
GENE-4516,NO,1,0,0,0,0,0,0
GENE-4517,NO,1,0,0,0,0,0,0
GENE-4518,NO,1,165,178,176,180,206,201
GENE-4519,NO,1,15,31,18,17,22,13
GENE-4520,NO,1,0,0,0,0,0,0
GENE-4521,NO,1,0,0,0,0,0,0
GENE-4522,NO,1,40,26,49,29,22,47
GENE-4523,NO,1,0,0,0,0,0,0
GENE-4524,NO,1,0,0,0,0,0,0
GENE-4525,NO,1,0,0,0,0,0,0
GENE-4526,NO,1,0,0,0,0,0,0
GENE-4527,NO,1,0,0,0,0,0,0
GENE-4528,NO,1,0,0,0,0,0,0
GENE-4529,NO,1,0,0,0,0,0,0
GENE-4530,YES,1,0,0,0,0,0,0
GENE-4531,NO,1,670,734,786,770,781,699
GENE-4532,NO,1,20,22,22,18,14,15
GENE-4533,NO,1,0,0,0,0,0,0
GENE-4534,NO,1,0,0,0,0,0,0
GENE-4535,NO,1,0,0,0,0,0,0
GENE-4536,NO,1,0,0,0,0,0,0
GENE-4537,NO,1,2,0,0,0,6,0
GENE-4538,NO,1,0,0,0,0,0,0
GENE-4539,NO,1,68,41,62,59,70,79
GENE-4540,NO,1,0,0,0,0,0,0
GENE-4541,NO,1,0,0,0,0,0,0
GENE-4542,NO,1,0,0,0,0,0,0
GENE-4543,NO,1,0,0,0,0,0,0
GENE-4544,NO,1,0,0,0,0,0,0
GENE-4545,NO,1,1445,1711,1520,1310,1094,1740
GENE-4546,NO,1,57,54,64,45,45,44
GENE-4547,NO,1,0,0,0,0,0,0
GENE-4548,NO,1,222,150,189,134,208,175
GENE-4549,NO,1,0,0,0,0,0,0
GENE-4550,NO,1,0,0,0,0,0,0
GENE-4551,YES,1,0,0,0,0,0,0
GENE-4552,NO,1,0,0,0,0,0,0
GENE-4553,NO,1,0,0,0,0,0,0
GENE-4554,NO,1,0,0,0,0,0,0
GENE-4555,NO,1,0,0,0,0,0,0
GENE-4556,NO,1,69,109,93,99,157,68
GENE-4557,NO,1,0,0,0,0,0,0
GENE-4558,NO,1,90,97,84,59,92,91
GENE-4559,NO,1,0,0,0,0,0,0
GENE-4560,NO,1,0,0,0,0,0,0
GENE-4561,NO,1,0,0,0,0,0,0
GENE-4562,NO,1,0,0,0,0,0,0
